Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
71	:	1772302677.220	     0.006	0	0	1	0	FrequencyAnalysis /home/jkitzmann/data/2-28/512rs/512_DFOV_500_resampled.nii.gz /home/jkitzmann/data/2-28/passResults/mtf/512/512_DFOV_500_resampled.x.mtf_curve.csv 1024 1039 380 495 390\,488 1.0 0.7 0.9 ./512/r500/m07_09 
72	:	1772302677.223	     0.006	0	0	1	0	FrequencyAnalysis /home/jkitzmann/data/2-28/512rs/512_DFOV_500_resampled.nii.gz /home/jkitzmann/data/2-28/passResults/mtf/512/512_DFOV_500_resampled.x.mtf_curve.csv 1024 1039 380 495 390\,488 1.0 0.8 0.9 ./512/r500/m08_09 
73	:	1772302677.226	     0.006	0	0	1	0	FrequencyAnalysis /home/jkitzmann/data/2-28/1024rs/1024_DFOV_450_resampled.nii.gz /home/jkitzmann/data/2-28/passResults/mtf/1024/1024_DFOV_450_resampled.x.mtf_curve.csv 1024 1039 380 495 390\,488 1.0 0.1 0.2 ./1024/r450/m01_02 
74	:	1772302677.229	     0.006	0	0	1	0	FrequencyAnalysis /home/jkitzmann/data/2-28/1024rs/1024_DFOV_450_resampled.nii.gz /home/jkitzmann/data/2-28/passResults/mtf/1024/1024_DFOV_450_resampled.x.mtf_curve.csv 1024 1039 380 495 390\,488 1.0 0.1 0.3 ./1024/r450/m01_03 
75	:	1772302677.233	     0.006	0	0	1	0	FrequencyAnalysis /home/jkitzmann/data/2-28/1024rs/1024_DFOV_450_resampled.nii.gz /home/jkitzmann/data/2-28/passResults/mtf/1024/1024_DFOV_450_resampled.x.mtf_curve.csv 1024 1039 380 495 390\,488 1.0 0.1 0.4 ./1024/r450/m01_04 
76	:	1772302677.236	     0.006	0	0	1	0	FrequencyAnalysis /home/jkitzmann/data/2-28/1024rs/1024_DFOV_450_resampled.nii.gz /home/jkitzmann/data/2-28/passResults/mtf/1024/1024_DFOV_450_resampled.x.mtf_curve.csv 1024 1039 380 495 390\,488 1.0 0.1 0.5 ./1024/r450/m01_05 
77	:	1772302677.239	     0.005	0	0	1	0	FrequencyAnalysis /home/jkitzmann/data/2-28/1024rs/1024_DFOV_450_resampled.nii.gz /home/jkitzmann/data/2-28/passResults/mtf/1024/1024_DFOV_450_resampled.x.mtf_curve.csv 1024 1039 380 495 390\,488 1.0 0.1 0.6 ./1024/r450/m01_06 
78	:	1772302677.242	     0.005	0	0	1	0	FrequencyAnalysis /home/jkitzmann/data/2-28/1024rs/1024_DFOV_450_resampled.nii.gz /home/jkitzmann/data/2-28/passResults/mtf/1024/1024_DFOV_450_resampled.x.mtf_curve.csv 1024 1039 380 495 390\,488 1.0 0.1 0.7 ./1024/r450/m01_07 
79	:	1772302677.245	     0.006	0	0	1	0	FrequencyAnalysis /home/jkitzmann/data/2-28/1024rs/1024_DFOV_450_resampled.nii.gz /home/jkitzmann/data/2-28/passResults/mtf/1024/1024_DFOV_450_resampled.x.mtf_curve.csv 1024 1039 380 495 390\,488 1.0 0.1 0.8 ./1024/r450/m01_08 
80	:	1772302677.248	     0.006	0	0	1	0	FrequencyAnalysis /home/jkitzmann/data/2-28/1024rs/1024_DFOV_450_resampled.nii.gz /home/jkitzmann/data/2-28/passResults/mtf/1024/1024_DFOV_450_resampled.x.mtf_curve.csv 1024 1039 380 495 390\,488 1.0 0.1 0.9 ./1024/r450/m01_09 
81	:	1772302677.251	     0.006	0	0	1	0	FrequencyAnalysis /home/jkitzmann/data/2-28/1024rs/1024_DFOV_450_resampled.nii.gz /home/jkitzmann/data/2-28/passResults/mtf/1024/1024_DFOV_450_resampled.x.mtf_curve.csv 1024 1039 380 495 390\,488 1.0 0.2 0.3 ./1024/r450/m02_03 
82	:	1772302677.254	     0.006	0	0	1	0	FrequencyAnalysis /home/jkitzmann/data/2-28/1024rs/1024_DFOV_450_resampled.nii.gz /home/jkitzmann/data/2-28/passResults/mtf/1024/1024_DFOV_450_resampled.x.mtf_curve.csv 1024 1039 380 495 390\,488 1.0 0.2 0.4 ./1024/r450/m02_04 
